population_size,num_samples,r,seq_len,model,d,t1,t2
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2920178.862721077,2920178.862721077
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1818465.6401346824,1818465.6401346824
1000000.0,2,1e-08,1000000.0,smck_10,1.0,207838.74933506857,207838.74933506857
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2984193.259801856,2984193.259801856
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3304287.43927638,3304287.43927638
1000000.0,2,1e-08,1000000.0,smck_10,1.0,529743.923129071,529743.923129071
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1296947.5646137744,1296947.5646137744
1000000.0,2,1e-08,1000000.0,smck_10,1.0,794831.165172186,794831.165172186
1000000.0,2,1e-08,1000000.0,smck_10,1.0,8438493.29639695,8438493.29639695
1000000.0,2,1e-08,1000000.0,smck_10,1.0,10577842.300615732,10577842.300615732
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1093436.6576180994,1093436.6576180994
1000000.0,2,1e-08,1000000.0,smck_10,1.0,595782.347235296,595782.347235296
1000000.0,2,1e-08,1000000.0,smck_10,1.0,582865.8025585831,582865.8025585831
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3387712.828998778,3387712.828998778
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1469012.7332115257,1469012.7332115257
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3366172.8353639413,3366172.8353639413
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1265407.6332550272,1265407.6332550272
1000000.0,2,1e-08,1000000.0,smck_10,1.0,259081.97085473078,259081.97085473078
1000000.0,2,1e-08,1000000.0,smck_10,1.0,828931.2536384295,828931.2536384295
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1110836.0120960716,1110836.0120960716
1000000.0,2,1e-08,1000000.0,smck_10,1.0,990504.8266782342,990504.8266782342
1000000.0,2,1e-08,1000000.0,smck_10,1.0,60861.76815363768,60861.76815363768
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3575421.8944859873,3575421.8944859873
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6365.518748241585,6365.518748241585
1000000.0,2,1e-08,1000000.0,smck_10,1.0,779640.9080446204,779640.9080446204
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5098400.003079803,5098400.003079803
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1475897.4088009421,1475897.4088009421
1000000.0,2,1e-08,1000000.0,smck_10,1.0,599743.7494425492,599743.7494425492
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2982234.959933704,2982234.959933704
1000000.0,2,1e-08,1000000.0,smck_10,1.0,999944.7937419157,999944.7937419157
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1104133.467356774,1104133.467356774
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2513580.9972108984,2513580.9972108984
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3317483.7650952134,3317483.7650952134
1000000.0,2,1e-08,1000000.0,smck_10,1.0,341208.06349581724,341208.06349581724
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1848607.2050564918,1848607.2050564918
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1896272.6435592973,1896272.6435592973
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6158096.376236989,9647563.061738959
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6365.518748241585,6365.518748241585
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3384300.0023615644,3384300.0023615644
1000000.0,2,1e-08,1000000.0,smck_10,1.0,187782.15755868485,187782.15755868485
1000000.0,2,1e-08,1000000.0,smck_10,1.0,566551.4347721497,566551.4347721497
1000000.0,2,1e-08,1000000.0,smck_10,1.0,8205639.460464214,8205639.460464214
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3204542.627180142,3204542.627180142
1000000.0,2,1e-08,1000000.0,smck_10,1.0,200972.26323537735,200972.26323537735
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1363505.5283446882,1363505.5283446882
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4912337.784416475,4912337.784416475
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1997352.1181967887,1997352.1181967887
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3325640.4586045807,3325640.4586045807
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1656342.2829395214,1656342.2829395214
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1096571.7167778474,1096571.7167778474
1000000.0,2,1e-08,1000000.0,smck_10,1.0,373144.00477652164,373144.00477652164
1000000.0,2,1e-08,1000000.0,smck_10,1.0,324877.0204856803,324877.0204856803
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4586347.3590256935,4586347.3590256935
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1511660.9791020975,1511660.9791020975
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2570542.902277679,2570542.902277679
1000000.0,2,1e-08,1000000.0,smck_10,1.0,532301.9331750992,532301.9331750992
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1769101.968382223,1769101.968382223
1000000.0,2,1e-08,1000000.0,smck_10,1.0,560152.8547819487,560152.8547819487
1000000.0,2,1e-08,1000000.0,smck_10,1.0,229068.151042063,229068.151042063
1000000.0,2,1e-08,1000000.0,smck_10,1.0,9002644.858603975,9002644.858603975
1000000.0,2,1e-08,1000000.0,smck_10,1.0,252250.3093390043,252250.3093390043
1000000.0,2,1e-08,1000000.0,smck_10,1.0,816356.486240318,816356.486240318
